id,name,key_skills,work_format_name,experience,specialization_id
120058839,Младший дизайнер,,Удалённо,От 1 года до 3 лет,34
119896680,Дизайнер,"Power Point, Работа с AI-инструментами, 3D-графика и анимация, Data storytelling, Figma, Canva, 3D-моделирование, Креативное мышление",,Нет опыта,73
120063935,Технический директор (Главный инженер),,На месте работодателя,Более 6 лет,125
117377151,Frontend Developer,"JavaScript, React, TypeScript, Redux, Webpack, Git, CI/CD",,От 3 до 6 лет,96
120075601,Аналитик данных Junior,"Python, Анализ данных",Удалённо,Нет опыта,156
120125003,QA/инженер-тестировщик,,Удалённо,От 3 до 6 лет,96
120012497,Frontend-разработчик,"JavaScript, Git, jQuery, PHP, CSS3, Vue, Sass",На месте работодателя,От 1 года до 3 лет,96
120089102,Проектный менеджер it (руководитель проектов),"Управление проектами, Управление командой, Проектный менеджмент, Системное мышление, Agile, Разработка бизнес-требований",На месте работодателя,От 1 года до 3 лет,107
120059522,Инженер по тестированию,"Test case, Функциональное тестирование, SQL, Тестирование, Тестирование пользовательского интерфейса",На месте работодателя,От 1 года до 3 лет,124
119609240,Тестировщик ПО (Manual),"Проведение тестирований, Подготовка отчетов, Postman, Ответственность, Пунктуальность, SQL, основы программирования",,Нет опыта,124
120039672,Middle Project Manager (с функциями аналитика),"Тайм-менеджмент, Грамотная устная речь, Грамотная письменная речь, Жизненный цикл проекта",На месте работодателя,От 1 года до 3 лет,107
119397396,Инженер по тестированию (ручное тестирование),"Python, Pytest, Requests, Selenium, Postman, Swagger, HTTP, REST API, WebSocket",Удалённо,От 1 года до 3 лет,124
119577719,Frontend-разработчик,"JavaScript, Git, jQuery, Vue.js, Ajax, HTML, CSS",На месте работодателя,От 1 года до 3 лет,96
119819951,Frontend-разработчик (React),"React, TypeScript, Webpack, redux|mobx",Удалённо,От 3 до 6 лет,96
119652037,Проектный менеджер,"Грамотная речь, Деловая переписка, Работа с большим объемом информации, Грамотность, Работа в команде, СЭД, Аналитическое мышление, Делопроизводство, Уверенный пользователь MS Office, MS Excel, Event Management",,Нет опыта,107
119227981,Проджект-менеджер,"Управление интернет-проектами, Навыки переговоров, Деловая переписка, Проектный менеджмент, Аналитическое мышление, Коммуникабельность, Performance-маркетинг",Удалённо,Нет опыта,107
119893793,UX/UI Дизайнер,"Дизайн интерфейсов, Веб-дизайн, Figma, UI/UX",На месте работодателя,От 1 года до 3 лет,34
120076949,Мобильный Android разработчик,"Android, Kotlin, Java, Flutter",Гибрид,От 3 до 6 лет,96
120068674,Графический дизайнер,"Adobe Illustrator, Полиграфический дизайн, Adobe InDesign",Удалённо,От 3 до 6 лет,34
119875749,Junior+/Middle backend разработчик (Java/Kotlin),"Java, Kotlin",Гибрид,От 1 года до 3 лет,96
